Date,Month Rate
2018-01-02,1.27
2018-01-03,1.27
2018-01-04,1.25
2018-01-05,1.24
2018-01-08,1.26
2018-01-09,1.25
2018-01-10,1.29
2018-01-11,1.29
2018-01-12,1.28
2018-01-16,1.31
2018-01-17,1.29
2018-01-18,1.26
2018-01-19,1.25
2018-01-22,1.23
2018-01-23,1.24
2018-01-24,1.23
2018-01-25,1.2
2018-01-26,1.21
2018-01-29,1.24
2018-01-30,1.47
2018-01-31,1.41
2018-02-01,1.39
2018-02-02,1.38
2018-02-05,1.37
2018-02-06,1.46
2018-02-07,1.34
2018-02-08,1.3
2018-02-09,1.29
2018-02-12,1.31
2018-02-13,1.32
2018-02-14,1.3
2018-02-15,1.28
2018-02-16,1.33
2018-02-20,1.37
2018-02-21,1.38
2018-02-22,1.32
2018-02-23,1.35
2018-02-26,1.35
2018-02-27,1.47
2018-02-28,1.48
2018-03-01,1.47
2018-03-02,1.47
2018-03-05,1.48
2018-03-06,1.54
2018-03-07,1.54
2018-03-08,1.54
2018-03-09,1.54
2018-03-12,1.56
2018-03-13,1.61
2018-03-14,1.68
2018-03-15,1.67
2018-03-16,1.68
2018-03-19,1.67
2018-03-20,1.73
2018-03-21,1.68
2018-03-22,1.65
2018-03-23,1.66
2018-03-26,1.68
2018-03-27,1.66
2018-03-28,1.62
2018-03-29,1.6
2018-04-02,1.65
2018-04-03,1.67
2018-04-04,1.65
2018-04-05,1.64
2018-04-06,1.65
2018-04-09,1.64
2018-04-10,1.61
2018-04-11,1.61
2018-04-12,1.62
2018-04-13,1.61
2018-04-16,1.6
2018-04-17,1.65
2018-04-18,1.64
2018-04-19,1.64
2018-04-20,1.62
2018-04-23,1.64
2018-04-24,1.67
2018-04-25,1.62
2018-04-26,1.59
2018-04-27,1.58
2018-04-30,1.6
2018-05-01,1.65
2018-05-02,1.66
2018-05-03,1.65
2018-05-04,1.63
2018-05-07,1.64
2018-05-08,1.66
2018-05-09,1.65
2018-05-10,1.65
2018-05-11,1.63
2018-05-14,1.64
2018-05-15,1.66
2018-05-16,1.66
2018-05-17,1.66
2018-05-18,1.64
2018-05-21,1.65
2018-05-22,1.7
2018-05-23,1.73
2018-05-24,1.7
2018-05-25,1.66
2018-05-29,1.74
2018-05-30,1.74
2018-05-31,1.73
2018-06-01,1.7
2018-06-04,1.72
2018-06-05,1.79
2018-06-06,1.78
2018-06-07,1.75
2018-06-08,1.75
2018-06-11,1.78
2018-06-12,1.78
2018-06-13,1.79
2018-06-14,1.78
2018-06-15,1.79
2018-06-18,1.8
2018-06-19,1.82
2018-06-20,1.82
2018-06-21,1.82
2018-06-22,1.8
2018-06-25,1.76
2018-06-26,1.76
2018-06-27,1.76
2018-06-28,1.73
2018-06-29,1.73
2018-07-02,1.87
2018-07-03,1.88
2018-07-05,1.84
2018-07-06,1.82
2018-07-09,1.83
2018-07-10,1.85
2018-07-11,1.86
2018-07-12,1.86
2018-07-13,1.84
2018-07-16,1.86
2018-07-17,1.9
2018-07-18,1.87
2018-07-19,1.86
2018-07-20,1.82
2018-07-23,1.84
2018-07-24,1.89
2018-07-25,1.87
2018-07-26,1.86
2018-07-27,1.87
2018-07-30,1.87
2018-07-31,1.91
2018-08-01,1.9
2018-08-02,1.86
2018-08-03,1.87
2018-08-06,1.88
2018-08-07,1.93
2018-08-08,1.9
2018-08-09,1.87
2018-08-10,1.88
2018-08-13,1.89
2018-08-14,1.93
2018-08-15,1.93
2018-08-16,1.92
2018-08-17,1.92
2018-08-20,1.89
